account_id,client_id,account_type,base_currency,opened_date,status
A000000133,C00000516,MARGIN,USD,2019-10-11,ACTIVE
A000000134,C00000217,CASH,USD,2017-09-24,ACTIVE
A000000135,C00000877,MARGIN,USD,2015-11-15,ACTIVE
A000000136,C00000841,MARGIN,GBP,2017-05-26,ACTIVE
A000000137,C00000384,PRIME_BROKERAGE,EUR,2020-04-10,ACTIVE
A000000138,C00000271,CASH,HKD,2016-12-22,ACTIVE
A000000139,C00000005,CUSTODY,USD,2025-12-05,ACTIVE
A000000140,C00000810,CASH,JPY,2019-02-27,ACTIVE
A000000141,C00000983,MARGIN,USD,2017-07-01,ACTIVE
A000000142,C00000660,CASH,USD,2016-08-26,ACTIVE
A000000143,C00000652,CASH,GBP,2017-03-27,ACTIVE
A000000144,C00000530,CASH,USD,2023-06-12,ACTIVE
A000000145,C00000647,MARGIN,USD,2020-06-10,ACTIVE
A000000146,C00000163,CUSTODY,USD,2024-03-08,ACTIVE
A000000147,C00000012,MARGIN,EUR,2025-08-27,ACTIVE
A000000148,C00000557,CUSTODY,USD,2017-09-13,ACTIVE
A000000149,C00000752,CASH,USD,2018-03-31,ACTIVE
A000000150,C00000669,PRIME_BROKERAGE,USD,2020-10-10,ACTIVE
A000000151,C00000827,PRIME_BROKERAGE,GBP,2025-02-12,ACTIVE
A000000152,C00000958,CASH,USD,2023-12-16,ACTIVE
A000000153,C00000950,MARGIN,USD,2019-12-11,ACTIVE
A000000154,C00000185,CASH,USD,2018-03-04,ACTIVE
A000000155,C00000213,CASH,USD,2025-10-14,ACTIVE
A000000156,C00000499,CUSTODY,USD,2016-11-10,ACTIVE
A000000157,C00000322,MARGIN,USD,2022-08-31,ACTIVE
A000000158,C00000011,CUSTODY,EUR,2025-07-28,ACTIVE
A000000159,C00000352,CUSTODY,USD,2026-03-01,ACTIVE
A000000160,C00000760,CASH,USD,2025-08-12,ACTIVE
A000000161,C00000531,MARGIN,USD,2018-02-03,ACTIVE
A000000162,C00000223,CASH,USD,2024-05-28,ACTIVE
A000000163,C00000963,CASH,USD,2021-10-22,CLOSED
A000000164,C00000357,PRIME_BROKERAGE,EUR,2015-10-20,ACTIVE
A000000165,C00000508,MARGIN,HKD,2021-12-12,ACTIVE
A000000166,C00000203,MARGIN,HKD,2019-12-22,CLOSED
A000000167,C00000106,MARGIN,GBP,2019-04-16,ACTIVE
A000000168,C00000211,CUSTODY,USD,2016-04-09,ACTIVE
A000000169,C00000766,CASH,USD,2023-11-12,ACTIVE
A000000170,C00000440,CASH,USD,2024-11-01,ACTIVE
A000000171,C00000911,CASH,EUR,2017-01-31,ACTIVE
A000000172,C00000847,PRIME_BROKERAGE,CAD,2014-05-19,ACTIVE
A000000173,C00000031,CASH,JPY,2016-08-24,ACTIVE
A000000174,C00000367,CASH,USD,2017-12-10,ACTIVE
A000000175,C00000799,CASH,USD,2026-01-12,ACTIVE
A000000176,C00000219,MARGIN,GBP,2021-01-22,ACTIVE
A000000177,C00000395,CASH,USD,2021-05-26,ACTIVE
A000000178,C00000285,PRIME_BROKERAGE,HKD,2024-08-07,ACTIVE
A000000179,C00000662,MARGIN,GBP,2019-02-24,ACTIVE
A000000180,C00000203,CASH,JPY,2015-02-04,ACTIVE
A000000181,C00000282,MARGIN,USD,2022-06-10,ACTIVE
A000000182,C00000606,CASH,EUR,2019-11-19,ACTIVE
A000000183,C00000803,PRIME_BROKERAGE,CAD,2015-12-03,ACTIVE
A000000184,C00000862,CUSTODY,USD,2014-04-24,ACTIVE
A000000185,C00000041,CASH,USD,2015-09-27,ACTIVE
A000000186,C00000822,MARGIN,USD,2019-03-01,ACTIVE
A000000187,C00000410,CASH,GBP,2015-03-15,ACTIVE
A000000188,C00000403,CASH,CAD,2015-03-19,ACTIVE
A000000189,C00000991,CUSTODY,JPY,2023-12-22,ACTIVE
A000000190,C00000049,PRIME_BROKERAGE,USD,2019-01-14,ACTIVE
A000000191,C00000742,MARGIN,USD,2021-12-28,ACTIVE
A000000192,C00000832,CASH,HKD,2026-03-02,ACTIVE
A000000193,C00000889,CASH,HKD,2025-04-24,ACTIVE
A000000194,C00000970,CASH,USD,2017-10-06,ACTIVE
A000000195,C00000175,CUSTODY,EUR,2023-08-03,ACTIVE
A000000196,C00000883,CASH,EUR,2017-01-03,ACTIVE
A000000197,C00000685,CASH,EUR,2015-07-23,ACTIVE
A000000198,C00001000,CASH,GBP,2015-06-14,ACTIVE
A000000199,C00000271,PRIME_BROKERAGE,GBP,2018-05-12,ACTIVE
A000000200,C00000894,CASH,EUR,2021-08-29,ACTIVE
A000000201,C00000077,CUSTODY,USD,2025-12-25,ACTIVE
A000000202,C00000480,PRIME_BROKERAGE,USD,2023-12-07,ACTIVE
A000000203,C00000834,MARGIN,EUR,2019-04-01,ACTIVE
A000000204,C00000320,PRIME_BROKERAGE,EUR,2014-12-18,ACTIVE
A000000205,C00000134,CASH,USD,2016-02-17,ACTIVE
A000000206,C00000526,CASH,USD,2024-09-26,ACTIVE
A000000207,C00000169,MARGIN,CAD,2023-12-27,ACTIVE
A000000208,C00000898,CASH,USD,2025-11-27,ACTIVE
A000000209,C00000192,CASH,USD,2014-05-15,ACTIVE
A000000210,C00000272,CASH,EUR,2018-04-30,ACTIVE
A000000211,C00000155,CASH,USD,2018-10-17,ACTIVE
A000000212,C00000280,CASH,USD,2017-09-12,ACTIVE
A000000213,C00000433,CASH,USD,2022-04-25,ACTIVE
A000000214,C00000543,MARGIN,EUR,2023-10-30,ACTIVE
A000000215,C00000662,CASH,USD,2023-09-11,ACTIVE
A000000216,C00000037,MARGIN,USD,2014-05-05,ACTIVE
A000000217,C00000232,PRIME_BROKERAGE,EUR,2017-03-15,ACTIVE
A000000218,C00000104,CASH,JPY,2020-04-05,ACTIVE
A000000219,C00000176,PRIME_BROKERAGE,USD,2019-10-26,ACTIVE
A000000220,C00000295,PRIME_BROKERAGE,USD,2014-12-28,ACTIVE
A000000221,C00000638,MARGIN,USD,2020-12-04,ACTIVE
A000000222,C00000698,CASH,USD,2016-01-25,ACTIVE
A000000223,C00000014,MARGIN,USD,2025-10-23,ACTIVE
A000000224,C00000271,PRIME_BROKERAGE,USD,2026-01-22,ACTIVE
A000000225,C00000993,MARGIN,USD,2020-09-22,ACTIVE
A000000226,C00000047,PRIME_BROKERAGE,EUR,2019-10-04,ACTIVE
A000000227,C00000538,MARGIN,GBP,2024-03-03,ACTIVE
A000000228,C00000824,PRIME_BROKERAGE,USD,2018-05-30,FROZEN
A000000229,C00000264,MARGIN,USD,2015-12-27,ACTIVE
A000000230,C00000362,CASH,USD,2014-08-30,ACTIVE
A000000231,C00000878,PRIME_BROKERAGE,JPY,2015-06-01,ACTIVE
A000000232,C00000703,MARGIN,EUR,2022-12-17,CLOSED
A000000233,C00000877,CASH,CAD,2018-04-07,ACTIVE
A000000234,C00000251,MARGIN,EUR,2016-08-13,ACTIVE
A000000235,C00000763,CASH,HKD,2017-10-21,ACTIVE
A000000236,C00000989,CASH,EUR,2016-03-14,FROZEN
A000000237,C00000898,MARGIN,USD,2018-06-15,ACTIVE
A000000238,C00000401,MARGIN,HKD,2020-01-30,ACTIVE
A000000239,C00000043,MARGIN,GBP,2023-07-09,ACTIVE
A000000240,C00000466,MARGIN,GBP,2018-06-30,ACTIVE
A000000241,C00000993,CASH,HKD,2022-12-23,ACTIVE
A000000242,C00000154,MARGIN,USD,2022-08-18,ACTIVE
A000000243,C00000296,CASH,USD,2016-02-05,ACTIVE
A000000244,C00000290,PRIME_BROKERAGE,USD,2015-04-29,ACTIVE
A000000245,C00000441,CASH,JPY,2025-02-27,ACTIVE
A000000246,C00000359,PRIME_BROKERAGE,GBP,2015-01-07,ACTIVE
A000000247,C00000788,MARGIN,CAD,2020-03-16,ACTIVE
A000000248,C00000751,CASH,EUR,2024-06-19,ACTIVE
A000000249,C00000033,MARGIN,USD,2017-08-12,ACTIVE
A000000250,C00000991,CUSTODY,HKD,2019-07-03,ACTIVE
A000000251,C00000178,MARGIN,EUR,2019-01-17,ACTIVE
A000000252,C00000143,MARGIN,USD,2023-03-27,ACTIVE
A000000253,C00000205,CASH,USD,2015-12-08,ACTIVE
A000000254,C00000385,PRIME_BROKERAGE,JPY,2024-02-15,ACTIVE
A000000255,C00000453,MARGIN,EUR,2018-04-04,ACTIVE
A000000256,C00000438,MARGIN,CAD,2015-12-07,ACTIVE
A000000257,C00000573,CASH,GBP,2024-04-17,ACTIVE
A000000258,C00000630,CUSTODY,GBP,2014-10-16,ACTIVE
A000000259,C00000636,MARGIN,EUR,2019-09-12,ACTIVE
A000000260,C00000866,CASH,USD,2026-02-22,ACTIVE
A000000261,C00000782,PRIME_BROKERAGE,USD,2025-01-21,ACTIVE
A000000262,C00000277,PRIME_BROKERAGE,EUR,2018-10-19,ACTIVE
A000000263,C00000842,CASH,USD,2018-11-05,ACTIVE
A000000264,C00000125,PRIME_BROKERAGE,EUR,2025-02-01,ACTIVE
A000000265,C00000529,CASH,GBP,2015-03-03,ACTIVE
A000000266,C00000917,MARGIN,JPY,2019-07-13,ACTIVE
A000000267,C00000737,CUSTODY,USD,2015-05-27,ACTIVE
A000000268,C00000206,CASH,USD,2023-07-25,ACTIVE
A000000269,C00000254,CASH,USD,2014-12-07,ACTIVE
A000000270,C00000057,CUSTODY,USD,2015-06-06,FROZEN
A000000271,C00000840,CASH,JPY,2020-06-09,ACTIVE
A000000272,C00000698,MARGIN,EUR,2023-07-07,ACTIVE
A000000273,C00000652,CASH,USD,2020-11-17,ACTIVE
A000000274,C00000760,MARGIN,USD,2015-07-03,ACTIVE
A000000275,C00000684,CASH,EUR,2018-01-14,ACTIVE
A000000276,C00000401,CASH,GBP,2015-11-15,ACTIVE
A000000277,C00000436,CASH,USD,2023-08-01,ACTIVE
A000000278,C00000012,MARGIN,USD,2016-04-22,ACTIVE
A000000279,C00000929,CASH,USD,2015-12-31,ACTIVE
A000000280,C00000163,CASH,JPY,2014-12-28,ACTIVE
A000000281,C00000925,PRIME_BROKERAGE,USD,2024-11-13,ACTIVE
A000000282,C00000156,CASH,GBP,2018-09-01,ACTIVE
A000000283,C00000880,PRIME_BROKERAGE,USD,2019-06-26,ACTIVE
A000000284,C00000070,CUSTODY,EUR,2017-10-31,CLOSED
A000000285,C00000621,MARGIN,EUR,2014-11-27,ACTIVE
A000000286,C00000539,CASH,EUR,2018-06-21,ACTIVE
A000000287,C00000850,MARGIN,USD,2022-09-16,ACTIVE
A000000288,C00000682,CASH,HKD,2015-08-05,ACTIVE
A000000289,C00000238,CUSTODY,JPY,2020-12-20,ACTIVE
A000000290,C00000902,CASH,HKD,2016-11-08,ACTIVE
A000000291,C00000064,MARGIN,USD,2024-08-22,ACTIVE
A000000292,C00000384,MARGIN,JPY,2022-05-17,ACTIVE
A000000293,C00000716,MARGIN,USD,2021-10-18,ACTIVE
A000000294,C00000503,MARGIN,USD,2021-10-06,ACTIVE
A000000295,C00000445,PRIME_BROKERAGE,JPY,2021-12-18,ACTIVE
A000000296,C00000025,MARGIN,EUR,2021-09-17,ACTIVE
A000000297,C00000144,PRIME_BROKERAGE,USD,2017-02-15,ACTIVE
A000000298,C00000886,CASH,USD,2014-06-07,ACTIVE
A000000299,C00000853,CASH,JPY,2015-01-17,ACTIVE
A000000300,C00000634,PRIME_BROKERAGE,JPY,2024-10-08,ACTIVE
A000000301,C00000641,CASH,USD,2024-07-10,ACTIVE
A000000302,C00000530,CASH,USD,2021-02-08,ACTIVE
A000000303,C00000554,CASH,USD,2019-10-11,ACTIVE
A000000304,C00000258,CASH,USD,2022-09-26,CLOSED
A000000305,C00000077,MARGIN,USD,2014-08-31,ACTIVE
A000000306,C00000513,CASH,EUR,2023-10-16,ACTIVE
A000000307,C00000960,CUSTODY,USD,2025-08-09,ACTIVE
A000000308,C00000432,CASH,USD,2024-12-11,ACTIVE
A000000309,C00000561,PRIME_BROKERAGE,USD,2024-11-17,ACTIVE
A000000310,C00000075,PRIME_BROKERAGE,EUR,2025-06-26,ACTIVE
A000000311,C00000073,CUSTODY,EUR,2024-06-20,ACTIVE
A000000312,C00000491,CUSTODY,USD,2025-05-05,ACTIVE
A000000313,C00000509,MARGIN,EUR,2016-08-07,ACTIVE
A000000314,C00000801,PRIME_BROKERAGE,CAD,2025-10-18,ACTIVE
A000000315,C00000027,PRIME_BROKERAGE,JPY,2017-10-08,ACTIVE
A000000316,C00000756,CASH,USD,2017-08-05,ACTIVE
A000000317,C00000713,CASH,GBP,2023-03-10,ACTIVE
A000000318,C00000121,PRIME_BROKERAGE,CAD,2018-01-11,ACTIVE
A000000319,C00000352,MARGIN,USD,2021-01-27,ACTIVE
A000000320,C00000011,CASH,GBP,2025-04-01,FROZEN
A000000321,C00000016,PRIME_BROKERAGE,USD,2025-01-01,ACTIVE
A000000322,C00000130,MARGIN,USD,2019-03-26,ACTIVE
A000000323,C00000671,PRIME_BROKERAGE,CAD,2023-05-15,ACTIVE
A000000324,C00000491,MARGIN,EUR,2024-07-25,ACTIVE
A000000325,C00000557,CASH,GBP,2018-04-09,ACTIVE
A000000326,C00000880,CASH,GBP,2018-01-18,ACTIVE
A000000327,C00000300,PRIME_BROKERAGE,USD,2020-04-11,ACTIVE
A000000328,C00000555,MARGIN,USD,2017-01-23,ACTIVE
A000000329,C00000637,MARGIN,USD,2023-03-15,ACTIVE
A000000330,C00000534,CASH,GBP,2021-07-20,ACTIVE
A000000331,C00000743,PRIME_BROKERAGE,USD,2021-01-02,ACTIVE
A000000332,C00000666,PRIME_BROKERAGE,CAD,2025-10-19,ACTIVE
A000000333,C00000035,CASH,EUR,2019-07-17,ACTIVE
A000000334,C00000087,CASH,JPY,2017-08-31,ACTIVE
A000000335,C00000884,CASH,USD,2021-03-30,ACTIVE
A000000336,C00000189,MARGIN,EUR,2019-06-08,ACTIVE
A000000337,C00000782,CASH,USD,2018-09-26,ACTIVE
A000000338,C00000930,CASH,GBP,2021-06-03,ACTIVE
A000000339,C00000350,PRIME_BROKERAGE,EUR,2016-09-08,ACTIVE
A000000340,C00000951,PRIME_BROKERAGE,USD,2023-10-30,ACTIVE
A000000341,C00000976,PRIME_BROKERAGE,EUR,2015-11-18,ACTIVE
A000000342,C00000737,MARGIN,EUR,2022-08-19,CLOSED
A000000343,C00000479,PRIME_BROKERAGE,HKD,2023-04-27,ACTIVE
A000000344,C00000288,PRIME_BROKERAGE,CAD,2024-05-11,FROZEN
A000000345,C00000790,MARGIN,USD,2017-06-05,ACTIVE
A000000346,C00000281,CASH,EUR,2025-12-31,ACTIVE
A000000347,C00000583,MARGIN,JPY,2022-04-08,ACTIVE
A000000348,C00000018,MARGIN,USD,2018-03-26,ACTIVE
A000000349,C00000865,MARGIN,USD,2024-06-29,ACTIVE
A000000350,C00000625,MARGIN,CAD,2016-05-25,ACTIVE
A000000351,C00000785,PRIME_BROKERAGE,USD,2015-03-06,ACTIVE
A000000352,C00000646,CASH,JPY,2025-03-01,ACTIVE
A000000353,C00000671,CASH,EUR,2016-05-26,ACTIVE
A000000354,C00000043,MARGIN,USD,2020-06-19,CLOSED
A000000355,C00000017,MARGIN,JPY,2018-05-09,ACTIVE
A000000356,C00000046,MARGIN,USD,2024-07-16,ACTIVE
A000000357,C00000116,MARGIN,USD,2018-12-21,ACTIVE
A000000358,C00000850,PRIME_BROKERAGE,USD,2016-09-17,ACTIVE
A000000359,C00000147,CASH,EUR,2018-03-13,ACTIVE
A000000360,C00000418,PRIME_BROKERAGE,USD,2019-09-07,ACTIVE
A000000361,C00000165,CASH,USD,2022-11-29,ACTIVE
A000000362,C00000027,CASH,USD,2019-04-04,ACTIVE
A000000363,C00000800,PRIME_BROKERAGE,GBP,2018-07-24,ACTIVE
A000000364,C00000388,PRIME_BROKERAGE,USD,2022-11-29,ACTIVE
A000000365,C00000665,CASH,USD,2021-03-29,ACTIVE
A000000366,C00000589,MARGIN,GBP,2023-07-23,ACTIVE
A000000367,C00000541,PRIME_BROKERAGE,EUR,2014-07-07,ACTIVE
A000000368,C00000325,CASH,JPY,2019-09-15,ACTIVE
A000000369,C00000337,CASH,GBP,2018-02-27,ACTIVE
A000000370,C00000323,PRIME_BROKERAGE,USD,2020-11-14,ACTIVE
A000000371,C00000981,PRIME_BROKERAGE,USD,2018-05-20,ACTIVE
A000000372,C00000079,CUSTODY,EUR,2021-02-09,ACTIVE
A000000373,C00000429,CASH,JPY,2023-06-20,ACTIVE
A000000374,C00000251,PRIME_BROKERAGE,USD,2023-03-07,ACTIVE
A000000375,C00000815,CASH,USD,2024-06-13,ACTIVE
A000000376,C00000518,CUSTODY,EUR,2021-11-01,ACTIVE
A000000377,C00000898,MARGIN,USD,2016-11-20,ACTIVE
A000000378,C00000568,PRIME_BROKERAGE,USD,2024-01-05,ACTIVE
A000000379,C00000035,PRIME_BROKERAGE,USD,2022-07-14,FROZEN
A000000380,C00000136,MARGIN,EUR,2017-07-28,ACTIVE
A000000381,C00000363,CASH,EUR,2020-11-11,ACTIVE
A000000382,C00000122,CASH,JPY,2018-09-23,ACTIVE
A000000383,C00000632,CASH,GBP,2024-08-15,ACTIVE
A000000384,C00000364,CUSTODY,HKD,2016-03-10,ACTIVE
A000000385,C00000447,CASH,USD,2023-04-05,ACTIVE
A000000386,C00000742,PRIME_BROKERAGE,HKD,2014-11-08,ACTIVE
A000000387,C00000918,CASH,EUR,2016-02-08,ACTIVE
A000000388,C00000450,CASH,GBP,2020-01-05,ACTIVE
A000000389,C00000100,CASH,USD,2025-03-12,ACTIVE
A000000390,C00000919,MARGIN,EUR,2016-09-15,ACTIVE
A000000391,C00000394,CASH,USD,2023-01-24,ACTIVE
A000000392,C00000968,PRIME_BROKERAGE,CAD,2021-07-21,ACTIVE
A000000393,C00000285,MARGIN,EUR,2024-01-18,ACTIVE
A000000394,C00000170,CASH,USD,2016-06-07,ACTIVE
A000000395,C00000174,CASH,HKD,2023-11-24,ACTIVE
A000000396,C00000683,CASH,USD,2014-11-13,ACTIVE
A000000397,C00000029,MARGIN,USD,2021-11-25,ACTIVE
A000000398,C00000853,PRIME_BROKERAGE,USD,2019-12-16,ACTIVE
A000000399,C00000585,MARGIN,USD,2023-06-13,ACTIVE
A000000400,C00000303,CUSTODY,GBP,2023-08-03,ACTIVE
A000000401,C00000443,MARGIN,USD,2023-03-18,FROZEN
A000000402,C00000750,MARGIN,CAD,2024-07-03,ACTIVE
A000000403,C00000228,PRIME_BROKERAGE,USD,2014-11-27,ACTIVE
A000000404,C00000465,MARGIN,EUR,2024-08-13,ACTIVE
A000000405,C00000323,PRIME_BROKERAGE,USD,2024-01-10,ACTIVE
A000000406,C00000814,MARGIN,USD,2025-06-24,ACTIVE
A000000407,C00000643,CASH,USD,2017-11-03,ACTIVE
